id,name,freeway,direction,type,lanes,city,county,abs_pm,lat,lon
400000,SR-37 conn-s-diag,101,S,ML,4,52582,41,459.835,38.081498,-122.547963
400001,NB 880 rm-n-loop,101,N,ML,5,68000,85,387.897,37.364085,-121.901149
400002,Peninsula Ave OC,101,S,ML,5,68252,81,416.893,37.584097,-122.328465
400006,Whipple Rd rm-s-diag,880,S,ML,4,81204,1,23.767,37.605003,-122.065542
400007,2000' N of Pennisula Ave,101,N,ML,5,68252,81,417.437,37.586936,-122.337721
400009,oppo University Ave off-e-diag,80,W,ML,5,6000,1,11.01,37.864883,-122.303345
400010,San Bruno Ave off-n-diag,101,N,ML,4,,81,422.457,37.629765,-122.402365
400011,2600' N of Miller Creek Rd,101,S,ML,5,52582,41,456.755,38.041862,-122.536533
400014,Bernal rd  rm-n-diag,101,N,ML,5,68000,85,376.491,37.245818,-121.775473
400017,BASCOM AVE,85,S,ML,4,68000,85,10.07,37.253303,-121.94544
400025,NEWELL AVE,680,N,ML,5,83346,13,45.192,37.892272,-122.06331
400026,Lakeshore Ave on-e-diag,580,E,ML,4,53000,1,59.403,37.809611,-122.246363
400027,oppo E of Carlson Blvd,80,E,ML,4,60620,13,14.573,37.914241,-122.317388
400028,Westborough Blvd,280,N,ML,4,73262,81,45.5,37.649733,-122.451962
400030,N First St rm-s-loop,880,S,ML,4,68000,85,3.64,37.359087,-121.906538
400031,EB High St. off ramp,580,W,ML,4,53000,1,56.34,37.787056,-122.196191
400037,Monument Blvd rm-s-diag,680,S,ML,6,57764,13,49.133,37.943971,-122.058927
400038,2200' N of Industrial Pkwy,880,S,ML,5,33000,1,25.177,37.622701,-122.078223
400039,SFIA/San Bruno Ave,101,N,ML,4,,81,422.967,37.637025,-122.404035
400040,Curtner Ave rm-s-loop,87,S,ML,3,68000,85,2.86,37.294949,-121.873109
400041,TENNYSON RD,880,N,ML,4,33000,1,26.027,37.633535,-122.085656
400044,Parish Rd,680,S,ML,2,,95,63.198,38.116791,-122.106303
400045,SB 101 rm-n-loop,880,N,ML,4,68000,85,4.02,37.363402,-121.902233
400048,Gateway Blvd on-e-diag,24,W,ML,4,54232,13,5.498,37.867468,-122.199253
400049,Willow Pass Rd rm-e-diag,4,E,ML,4,,13,16.744,38.014622,-121.994448
400050,KENT ST,238,N,ML,3,,1,15.233,37.688984,-122.114253
400052,Almaden Expwy  rm-n-loop,85,N,ML,3,68000,85,6.09,37.255936,-121.874584
400053,Livorna Rd on-s-diag,680,S,ML,4,,13,42.568,37.862138,-122.034099
400057,Bascom Ave rm-n-diag,880,N,ML,3,68000,85,1.33,37.335022,-121.935522
400059,Camden Ave rm-s-diag,85,S,ML,3,68000,85,7.97,37.250481,-121.907735
400060,oppo N of University Ave,80,W,ML,5,6000,1,11.51,37.87181,-122.305549
400065,NB & SB 280  rm-s-conn,87,S,ML,2,68000,85,4.89,37.320292,-121.890281
400067,Alvarado-Niles Rd rm-s-diag,880,S,ML,4,81204,1,23.167,37.597694,-122.060285
400069,Great America Pkwy rm-s-diag,101,S,ML,4,69084,85,392.443,37.385758,-121.977493
400071,2700' E of Foster City Blvd.,92,W,ML,3,25338,81,14.656,37.567395,-122.26939
400073,NB 85 rm-s-loop/conn,17,S,ML,2,44112,85,21.953,37.2563,-121.955559
400074,Tennessee St off-w-loop,80,W,ML,3,81666,95,30.902,38.108738,-122.229761
400075,West St off ramp,580,E,ML,6,53000,1,61.493,37.82576,-122.275143
400078,N Main St off-n-loop,680,N,ML,6,83346,13,46.912,37.913722,-122.066597
400079,oppo W of Panama Ave,80,W,ML,4,60620,13,13.843,37.904377,-122.313309
400082,1000' W of Richmond Pkwy,80,E,ML,4,60620,13,19.603,37.980187,-122.317007
400083,SHATTUCK AVE/ 55TH ST,24,W,ML,4,53000,1,1.043,37.839128,-122.264826
400084,Wolfe Rd rm-s-loop,280,S,ML,4,17610,85,9.602,37.329258,-122.012053
400085,ALMADEN EXPWY,85,S,ML,3,68000,85,6.1,37.255594,-121.87471
400088,Great Mall Pkwy rm-n-loop,880,N,ML,4,47766,85,7.65,37.414988,-121.912685
400090,2000' N OF Sycamore Valley Rd,680,N,ML,5,17988,13,38.673,37.819445,-121.993177
400091,200' N of Fairway/Aladdin Dr,880,S,ML,5,68084,1,32.727,37.70723,-122.162087
400093,oppo 1400' N of 7th St,880,S,ML,4,53000,1,44.027,37.811953,-122.303779
400094,23th Ave/Kennedy St rm-s-loop,880,N,ML,4,53000,1,39.107,37.776769,-122.236107
400096,oppo Great America Pkwy,237,W,ML,3,69084,85,6.227,37.417981,-121.972547
400097,Saratoga Ave  rm-n-diag,85,S,ML,3,70280,85,14.106,37.279012,-122.010614
400098,Broadway rm-s-loop/diag,101,S,ML,4,9066,81,418.723,37.589264,-122.360143
400100,Hamilton Ave rm-n-loop,17,S,ML,3,10340,85,24.943,37.295052,-121.938872
400101,1200' W of Orinda exit,24,W,ML,5,54232,13,6.158,37.872945,-122.189548
400103,Shattuck Ave / 55th St,24,E,ML,4,53000,1,1.043,37.839085,-122.26443
400104,NORTH FIRST STREET,237,E,ML,3,68000,85,7.162,37.419313,-121.95548
400105,Crow Canyon Rd on-n-diag,680,S,ML,4,68378,13,35.758,37.77936,-121.976464
400106,oppo peninsula ave rm-n-diag,101,S,ML,5,68252,81,417.153,37.586325,-122.332169
400107,oppo EB 92 rm-s-diag,101,N,ML,5,68252,81,413.917,37.551402,-122.29412
400108,Bear Creek Rd rm-n-diag,17,N,ML,2,,85,16.613,37.190197,-121.992771
400109,N 13th St/Oakland Rd rm-s-diag,101,S,ML,4,68000,85,387.283,37.362706,-121.889426
400110,GREGORY LN OFF-S-DIAG,680,S,ML,6,57764,13,49.693,37.951643,-122.055554
400111,Hacienda Dr rm-e-loop,580,E,ML,5,57792,1,34.882,37.70141,-121.888557
400112,Olivera St oc (Reitz Ct),242,N,ML,4,16000,13,3.069,37.998096,-122.038232
400113,Barrett Ave rm-w-diag,80,W,ML,4,60620,13,15.953,37.932553,-122.326013
400115,Kent St,238,S,ML,3,,1,15.233,37.688688,-122.114306
400116,N Access Rd rm-s-fly,101,S,ML,5,,81,422.793,37.634035,-122.403213
400118,Crow Canyon Rd on-n-diag,680,N,ML,4,68378,13,35.783,37.780195,-121.976672
400119,Oppo 3300' N of Milbrae ave OC,101,N,ML,5,,81,420.767,37.608473,-122.389316
400122,NB 101 rm-n-diag,880,N,ML,3,68000,85,4.21,37.36614,-121.901132
400124,oppo 600' W of Refinery Rd UC,80,E,ML,4,,13,25.247,38.036872,-122.249008
400125,oppo 1200' N of SFIA,101,N,ML,7,,81,421.607,37.617768,-122.398679
400126,oppo S Aquatic Park,80,W,ML,5,6000,1,10.4,37.856366,-122.301014
400128,oppo Magazine St  on-e-hook,80,W,ML,3,81666,95,29.212,38.084834,-122.233136
400132,Cottle rd rm-n-diag,85,N,ML,4,68000,85,2.11,37.243208,-121.806387
400134,98th Ave rm-s-loop,880,S,ML,5,53000,1,34.977,37.731787,-122.188781
400137,THORNTON AVE,880,N,ML,4,26000,1,19.057,37.54653,-122.022581
400138,Tully Rd rm-s-diag,101,S,ML,5,,85,382.589,37.317118,-121.830485
400141,Stevenson Blvd rm-n-diag,880,N,ML,4,26000,1,16.597,37.523522,-121.989607
400143,2200' N of Ignasio Blvd,101,S,ML,5,,41,459.225,38.074388,-122.541483
400145,BLOSSOM HILL RD,85,N,ML,3,68000,85,4.03,37.251693,-121.838501
400146,100' S OF PASEO GRANDE,880,S,ML,6,,1,29.907,37.680405,-122.123301
400147,The Alameda rm-n-loop,880,N,ML,3,68000,85,2.04,37.34221,-121.926305
400148,Camden Ave rm-n-diag,85,N,ML,3,68000,85,8.23,37.250664,-121.912479
400149,Shoreline Blvd rm-s-diag,85,S,ML,3,49670,85,23.996,37.40848,-122.070905
400150,oppo 3000' S of Rudgear Rd,680,N,ML,4,83346,13,43.543,37.874155,-122.044346
400152,oppo 2100' S Sycamore Valley,680,N,ML,5,17988,13,37.683,37.805463,-121.990262
400153,oppo W of Airway Blvd,580,E,ML,7,41992,1,31.492,37.700927,-121.826692
400154,Saratoga Ave rm-n-loop,17,N,ML,2,44112,85,19.603,37.226342,-121.975157
400156,Havelock St,280,N,ML,5,67000,75,52.011,37.727079,-122.445019
400158,Zanker Rd RM-E-Diag,237,W,ML,3,68000,85,8.222,37.421059,-121.93678
400160,Alum Rock Ave rm-s-diag,101,S,ML,4,68000,85,385.309,37.348392,-121.860589
400162,S Delaware St off-w-diag,92,W,ML,2,68252,81,12.216,37.552538,-122.307782
400168,Lawrence Expwy. rm-n-loop,101,N,ML,4,77000,85,393.467,37.391166,-121.995524
400169,oppo 3300' N of Livorna Rd,680,S,ML,5,83346,13,43.348,37.871257,-122.042369
400171,Acalanes Rd on-e-diag,24,E,ML,4,39122,13,8.878,37.891457,-122.152067
400172,De La Cruz Blvd rm-s-diag,101,S,ML,4,68000,85,390.263,37.376264,-121.939712
400174,oppo Moffett Blvd rm-s-loop,85,N,ML,3,49670,85,23.656,37.403686,-122.06976
400176,University Ave rm-w-loop,80,W,ML,5,6000,1,11.202,37.867545,-122.304183
400178,Capitol Expwy  rm-n-diag,87,N,ML,2,68000,85,1.53,37.276874,-121.863698
400180,oppo 900' S of Hacienda Ave,880,N,ML,5,,1,29.267,37.674405,-122.114201
400181,Bernal Rd rm-n-loop,101,N,ML,4,68000,85,376.291,37.244125,-121.772528
400182,Cutting Blvd rm-e-diag,80,E,ML,6,60620,13,15.383,37.925458,-122.320648
400183,2400' N of Sierra Point Prkwy,101,N,ML,4,8310,81,426.997,37.689942,-122.390669
400184,WILLOW PASS  ON-N-DIAG,680,N,ML,4,16000,13,50.597,37.964604,-122.055102
400185,De Anza Blvd/Saratoga-Sunny,85,N,ML,3,68000,85,16.236,37.303131,-122.034527
400186,600' N of Paseo Padre Pkwy,880,S,ML,4,26000,1,21.277,37.572471,-122.046218
400189,Fremont Blvd rm-n-loop,880,N,ML,4,26000,1,13.507,37.493107,-121.948928
400190,42nd/High St rm-n-diag,880,S,ML,4,53000,1,38.297,37.771395,-122.223163
400192,oppo davis st off-n-diag,880,S,ML,6,68084,1,33.577,37.71565,-122.173379
400193,oppo 100' N of Oak Park Blvd,680,S,ML,4,57764,13,48.529,37.935406,-122.060387
400195,Tully Rd rm-n-loop,101,N,ML,4,68000,85,382.903,37.321278,-121.834098
400197,600' E of 1st St UC,24,E,ML,4,39122,13,11.078,37.895088,-122.112962
400201,N FIRST STREET,237,W,ML,3,68000,85,6.752,37.419186,-121.962831
400202,Marina Bay Parkway (S 23rd St),580,E,ML,3,60620,13,66.236,37.92135,-122.337615
400203,Kempton St/Fairmont St,580,E,ML,4,53000,1,60.613,37.822145,-122.259965
400206,San Tomas Expwy rm-s-loop,101,S,ML,4,68000,85,391.543,37.381356,-121.96211
400207,1300' S of El Cerro Blvd,680,N,ML,4,17988,13,39.353,37.827979,-121.998142
400208,N. Main St off-s-diag,680,S,ML,5,83346,13,47.309,37.918191,-122.06364
400209,Stevens Creek Blvd  rm-s-diag,85,S,ML,4,17610,85,17.666,37.319961,-122.049031
400211,oppo 1700' N of South Main St.,680,N,ML,5,83346,13,44.862,37.8897,-122.058213
400212,2000' S of Bollinger Canyon Rd,680,N,ML,4,68378,13,33.903,37.75546,-121.962333
400213,Winchester Blvd  rm-n-diag,85,S,ML,4,44112,85,11.336,37.259192,-121.967128
400214,SR-37 conn-n-diag,101,N,ML,4,52582,41,460.033,38.076333,-122.54237
400216,Regatta Blvd off-w-diag,580,E,ML,3,60620,13,66.089,37.920897,-122.335094
400221,Hamilton Ave  rm-n-loop,17,N,ML,3,10340,85,24.833,37.293614,-121.937899
400222,oppo Saratoga Ave rm-s-diag,85,N,ML,3,68000,85,13.696,37.275395,-122.004702
400223,Bailey Ave rm-s-diag,101,S,ML,4,68000,85,372.587,37.208513,-121.721905
400224,47th St and MLK,24,W,ML,4,53000,1,0.783,37.835531,-122.266013
400225,Washington Ave rm-s-loop,880,S,ML,4,68084,1,30.877,37.689656,-122.136588
400227,Trimble Rd rm-n-diag,101,N,ML,5,68000,85,390.447,37.377237,-121.943586
400228,Davis St rm-s-loop/diag,880,S,ML,6,68084,1,33.757,37.71769,-122.175415
400231,18th St / Pennsylvania,280,S,ML,3,67000,75,56.493,37.762469,-122.392743
400232,Scott Creek Rd rm-n-diag,680,N,ML,3,26000,1,10.276,37.468847,-121.907383
400235,oppo California St / Spring,80,W,ML,4,,13,24.714,38.030602,-122.254968
400236,Auzerais Ave/Delmas St,87,S,ML,3,68000,85,5.25,37.325009,-121.892984
400237,Bailey Ave rm-n-loop,101,N,ML,4,68000,85,372.701,37.210372,-121.723483
400238,Great Mall Pkwy rm-s-diag,880,S,ML,4,47766,85,7.53,37.413256,-121.912324
400240,NB 85 rm-n-conn,17,N,ML,3,44112,85,22.103,37.258184,-121.953853
400242,oppo 2000' N of 7th St/Grand,880,S,ML,4,53000,1,44.087,37.812685,-122.3032
400246,Great America Pkwy rm-n-diag,101,N,ML,4,69084,85,392.527,37.386551,-121.979462
400248,Thornton Ave rm-s-loop,880,S,ML,4,26000,1,19.097,37.546915,-122.023163
400249,Auto Mall Pkwy rm-n-loop,880,N,ML,4,26000,1,14.887,37.506892,-121.966671
400251,Oak Hill Rd off diag,24,E,ML,4,39122,13,10.468,37.893156,-122.123812
400252,Lewelling Blvd rm-n-diag,880,N,ML,4,,1,30.647,37.687544,-122.133225
400253,The Alameda rm-s-loop,880,S,ML,3,68000,85,2.1,37.342957,-121.925721
400255,BACON ST NEAR SAN BRUNO AVE,101,N,ML,5,67000,75,429.694,37.727662,-122.402599
400257,Curtner Ave rm-n-diag,87,S,ML,3,68000,85,2.65,37.291715,-121.871799
400258,Lelong St rm-n-diag,87,N,ML,3,68000,85,4.36,37.313462,-121.886197
400260,oppo Harney Way  rm-s-diag,101,N,ML,4,8310,81,428.167,37.706585,-122.394455
400261,500' W of Park Blvd,580,E,ML,4,53000,1,58.693,37.805061,-122.234851
400263,BETW POPLAR & 3RD -CYPRESS AVE,101,S,ML,5,68252,81,415.943,37.573665,-122.317153
400264,Old Middlefield Way rm-s-diag,101,S,ML,4,49670,85,398.553,37.413855,-122.082578
400265,Industrial Rd / Park Rd,680,S,ML,2,5290,95,59.598,38.070185,-122.12636
400268,SANTA TERESA,85,N,ML,3,68000,85,5.18,37.255651,-121.858078
400270,Willow Pass Rd (Bay Point),4,E,ML,4,,13,18.674,38.022118,-121.962342
400272,Hillsdale Blvd off-s-diag,101,S,ML,4,68252,81,413.573,37.546868,-122.290231
400274,oppo Lawrence Expwy,237,W,ML,3,77000,85,4.737,37.409627,-121.997252
400275,A St rm-n-diag,880,N,ML,5,,1,28.707,37.667821,-122.108348
400276,Sneath Ln rm-n-diag/loop,280,N,ML,3,65028,81,43.734,37.62897,-122.432885
400278,San Tomas Expwy rm-s-diag,17,S,ML,3,44112,85,22.753,37.266561,-121.948692
400280,Santa Teresa Blvd rm-n-diag,87,N,ML,3,68000,85,0.32,37.260103,-121.858435
400283,2000' N of Pacheco Creek OC,101,N,ML,4,,41,458.313,38.053731,-122.530648
400284,Tennyson Rd off-n-diag,880,N,ML,4,33000,1,25.767,37.630267,-122.083308
400287,Parish Rd,680,N,ML,2,,95,63.093,38.116567,-122.106057
400289,1450' E of EBmud Aqueduct UC,24,W,ML,5,39122,13,11.408,37.896274,-122.107979
400291,oppo Hillsdale Blvd off-s-diag,101,N,ML,5,68252,81,413.537,37.546976,-122.290032
400292,Saratoga ave  rm-s-diag,280,S,ML,4,68000,85,7.162,37.316378,-121.972052
400295,Industrial Rd / Park Rd,680,N,ML,2,5290,95,59.493,38.070032,-122.126275
400296,oppo Zanker Rd  rm-w-loop,237,E,ML,3,68000,85,8.082,37.420359,-121.93915
400298,Hamilton Ave rm-s-diag,17,S,ML,3,10340,85,24.793,37.293047,-121.937861
400300,7th St rm-s-diag,880,S,ML,3,53000,1,43.577,37.805659,-122.303914
400301,oppo Pinole Valley Rd,80,W,ML,4,57288,13,22.025,37.999311,-122.28411
400302,Beaumont Ave,580,E,ML,4,53000,1,58.188,37.800558,-122.227577
400303,oppo Rudgear Rd on-s-diag,680,N,ML,4,83346,13,43.613,37.875017,-122.045018
400304,N OF IGNACIO BLVD,101,S,ML,4,,41,458.845,38.069309,-122.538884
400307,Olivera St oc (Reitz Ct),242,S,ML,3,16000,13,3.069,37.997771,-122.03856
400308,Beaumont Ave,580,W,ML,4,53000,1,58.34,37.800758,-122.227469
400309,Fremont Blvd rm-n-diag,880,N,ML,4,26000,1,13.697,37.495016,-121.951359
400312,Hacienda Ave OC,880,S,ML,6,,1,29.597,37.677442,-122.118925
400313,oppo Appian Way rm-e-diag,80,W,ML,4,57288,13,20.953,37.993511,-122.301607
400314,oppo S Delaware St off-w-diag,92,E,ML,2,68252,81,12.426,37.552461,-122.303913
400316,EB 380/S Airport Blvd,101,N,ML,4,73262,81,423.147,37.639474,-122.405195
400318,SOUTH OF MONTEREY,280,S,ML,4,67000,75,52.613,37.731198,-122.436258
400319,SR 92,280,N,ML,4,,81,33.266,37.506335,-122.337198
400321,Winton Ave rm-n-coll,880,S,ML,5,33000,1,28.047,37.659179,-122.103312
400322,oppo Alemany Blvd,280,N,ML,5,67000,75,53.831,37.734299,-122.409462
400323,1200' W of Acalanes Rd,24,E,ML,4,54232,13,8.398,37.892701,-122.16068
400324,Bailey Rd. rm-e-diag,4,E,ML,4,,13,19.794,38.018708,-121.941653
400325,CAPITOL EXPWY,101,N,ML,4,68000,85,381.453,37.304612,-121.818006
400329,Central Ave rm-e-diag,80,E,ML,4,60620,13,13.773,37.903574,-122.31244
400330,Mathilda Ave. rm-s-diag,101,S,ML,4,77000,85,395.303,37.398628,-122.026802
400331,oppo SFIA off-s-diag,101,N,ML,5,,81,421.817,37.62072,-122.399676
400333,Davis St rm-n-loop/diag,880,N,ML,4,68084,1,33.917,37.719584,-122.177086
400334,Airway Blvd  rm-w-loop,580,W,ML,5,41992,1,31.164,37.701111,-121.817968
400336,Union Ave rm-s-diag,85,N,ML,4,68000,85,9.1,37.250624,-121.928209
400337,Sonoma Blvd on-w-diag,80,W,ML,3,81666,95,28.562,38.075741,-122.231688
400338,Serramonte Blvd rm-n-diag,280,N,ML,4,17918,81,47.29,37.671398,-122.466632
400339,Fruitvale Ave off-e-diag,580,W,ML,4,53000,1,57.74,37.79841,-122.216924
400340,San Bruno Ave rm-s-diag,101,S,ML,5,,81,422.503,37.629746,-122.402661
400341,42nd/High St rm-n-diag,880,N,ML,4,53000,1,38.297,37.771469,-122.22307
400343,Coleman Ave rm-n-diag,880,N,ML,3,68000,85,2.7,37.348907,-121.917833
400345,Davis St on-e-diag,24,E,ML,5,54232,13,7.008,37.882713,-122.1802
400349,S of Los Robles Rd,101,N,ML,4,,41,458.603,38.057912,-122.530824
400350,SR 92,280,S,ML,4,,81,33.326,37.506759,-122.33852
400353,San Tomas Expwy rm-n-diag,101,N,ML,4,68000,85,391.827,37.383125,-121.967496
400354,1900' E of St Stephens Dr OC,24,W,ML,5,54232,13,8.108,37.892849,-122.166614
400359,Harbour Way on ramp,580,E,ML,3,60620,13,67.386,37.922431,-122.357855
400360,98th Ave rm-n-loop,880,N,ML,4,53000,1,34.877,37.730698,-122.187572
400361,oppo San Pablo Ave rm-e-diag,80,W,ML,4,60620,13,16.303,37.937368,-122.326196
400363,Auto Mall Pkwy rm-s-diag,880,S,ML,4,26000,1,14.807,37.505941,-121.965865
400369,Lake Herman Rd,680,N,ML,2,,95,61.063,38.088513,-122.109515
400372,Great America Pkwy rm-s-loop,101,S,ML,4,69084,85,392.253,37.38482,-121.974251
400376,Mission Blvd rm-n-coll,680,N,ML,4,26000,1,12.406,37.496302,-121.923874
400378,Cutting Blvd off-w-diag,80,W,ML,5,60620,13,15.383,37.925318,-122.320965
400381,Broadway rm-n-diag/hook,101,N,ML,4,9066,81,419.097,37.593148,-122.365697
400382,oppo N of Miller Creek Rd,101,S,ML,4,,41,456.455,38.037635,-122.536716
400383,1900' N OF A ST,880,S,ML,6,,1,28.947,37.670804,-122.110602
400388,N of Union Pacific RROC,101,N,ML,5,46870,81,405.387,37.480426,-122.174688
400389,1650' W of St Stephens Dr OC,24,E,ML,5,54232,13,7.348,37.887084,-122.177406
400390,N of 37 / 101 Interchange,101,N,ML,4,52582,41,460.503,38.081688,-122.547804
400392,N of Posada Del sol,101,S,ML,4,,41,458.395,38.063597,-122.535214
400393,1500' N of El Pintado Rd,680,S,ML,4,17988,13,40.508,37.837989,-122.014484
400394,SB 880 rm-s-loop,101,S,ML,5,68000,85,388.023,37.364382,-121.902692
400395,Bayview Ave on-e-diag,580,E,ML,3,60620,13,65.265,37.912995,-122.324769
400397,HAVELOCK ST,280,S,ML,5,67000,75,52.023,37.726891,-122.445512
400400,SB 680  rm-n-diag,101,N,ML,4,68000,85,384.743,37.34241,-121.854543
400401,1300' S OF EL CERRO BLVD,680,S,ML,4,17988,13,39.388,37.827922,-121.99838
400406,42nd St and Martin Luther King,24,W,ML,4,53000,1,0.473,37.83111,-122.266925
400407,oppo Bayview Ave on-e-diag,580,W,ML,3,60620,13,65.187,37.912968,-122.324482
400409,Fremont Blvd rm-s-diag,880,S,ML,4,26000,1,13.277,37.490584,-121.945998
400410,Great Oaks Blvd/Monterey Hwy,85,N,ML,3,68000,85,0.81,37.240325,-121.782062
400411,1000' W of Richmond Pkwy,80,W,ML,4,60620,13,19.603,37.980256,-122.317154
400413,E of Camino Pablo,24,W,ML,4,54232,13,6.918,37.881791,-122.181562
400414,Saratoga Ave rm-n-diag,280,N,ML,4,68000,85,7.472,37.317942,-121.977301
400416,oppo Saratoga Ave on-n-diag,17,S,ML,2,44112,85,19.713,37.227752,-121.974276
400417,oppo at the truck scales,880,N,ML,4,26000,1,14.257,37.500569,-121.958606
400418,Curtner Ave rm-n-diag,87,N,ML,3,68000,85,2.66,37.291828,-121.871836
400420,Anza Blvd rm-n-diag,101,N,ML,5,68252,81,418.207,37.587312,-122.35175
400421,oppo 1500' N of Broadway,101,S,ML,6,9066,81,419.213,37.593761,-122.367078
400422,Davis St off-n-diag,880,N,ML,4,68084,1,33.577,37.715784,-122.173158
400425,University Ave rm-s-diag,101,S,ML,4,20970,81,403.003,37.459416,-122.139286
400427,Jackson St rm-s-fly,880,S,ML,4,33000,1,26.927,37.64476,-122.093918
400428,2600' N of Miller Creek Rd,101,N,ML,5,,41,457.423,38.041791,-122.536263
400429,LAWRENCE EXPWY,280,S,ML,4,68000,85,8.362,37.319424,-121.993175
400430,oppo 1000' W of Appian Way,80,E,ML,5,57288,13,20.56,37.991671,-122.308362
400432,University Ave off-e-diag,80,E,ML,5,6000,1,11.01,37.864887,-122.30302
400435,Ellis St rm-s-diag,101,S,ML,4,77000,85,396.483,37.403153,-122.047463
400436,Camden Ave rm-n-diag,17,N,ML,4,10340,85,23.123,37.271687,-121.947037
400437,Sycamore Valley Rd,680,S,ML,4,17988,13,38.278,37.813185,-121.993418
400438,Camino Pablo off-e-diag,24,E,ML,4,54232,13,6.598,37.87761,-122.184005
400439,S of Hinkley Rd,101,S,ML,5,9066,81,419.443,37.595859,-122.370348
400440,Mckee Rd/Julian St rm-s-diag,101,S,ML,4,68000,85,385.779,37.353727,-121.865827
400441,S of Hinkley Rd,101,N,ML,5,9066,81,419.407,37.595999,-122.37006
400442,98th Ave rm-s-diag,880,S,ML,5,53000,1,34.827,37.730017,-122.18722
400443,San Pablo Ave rm-e-diag,80,E,ML,4,60620,13,16.303,37.937479,-122.325945
400444,BLOSSOM HILL,85,N,ML,3,68000,85,3.84,37.25025,-121.835557
400445,oppo Barrett Ave rm-w-diag,80,E,ML,4,60620,13,15.953,37.932712,-122.325878
400446,Crow Canyon Rd rm-s-diag,680,S,ML,4,68378,13,35.388,37.77437,-121.973981
400449,N First St,237,W,ML,3,68000,85,7.162,37.419452,-121.955498
400450,1500' N OF EL PINTADO RD,680,N,ML,4,17988,13,40.473,37.838067,-122.014224
400451,Decoto Rd rm-s-diag,880,S,ML,4,26000,1,20.347,37.561479,-122.036403
400457,Capitol Expwy  rm-n-diag,87,S,ML,2,68000,85,1.52,37.276763,-121.863661
400460,2000' N of Pacheco Creek OC,101,S,ML,4,,41,457.645,38.05375,-122.530892
400461,ALMADEN EXPWY  RM-N-DIA,85,N,ML,3,68000,85,6.34,37.254781,-121.878917
400462,Gold Hill Rd oc,680,S,ML,2,,95,68.098,38.182315,-122.134276
400463,2000' N OF WINTON AVE,880,S,ML,5,33000,1,28.217,37.661372,-122.104698
400464,SB 17 / NB 17 rm-n-coll,85,N,ML,3,44112,85,11.056,37.258029,-121.962211
400465,oppo Richmond Pkwy rm-e-diag,80,W,ML,4,57288,13,20.273,37.989153,-122.3126
400468,Stevenson Blvd rm-s-diag,880,S,ML,4,26000,1,16.257,37.520726,-121.984478
400470,E of Carlson Blvd,80,W,ML,4,60620,13,14.573,37.914219,-122.317555
400473,N Access Rd off-n-diag,101,N,ML,5,,81,422.757,37.634102,-122.402969
400474,Blossom Hill Rd  rm-n-loop,101,N,ML,4,68000,85,377.741,37.256032,-121.794206
400478,SR4 rm-e-fly/diag,80,E,ML,4,33308,13,23.528,38.016698,-122.267706
400479,SB 101 rm-s-diag,880,S,ML,4,68000,85,3.94,37.362439,-121.903211
400480,West St / 35th St,580,W,ML,4,53000,1,61.395,37.824968,-122.270895
400484,1200' N of SFIA,101,S,ML,6,,81,421.643,37.617632,-122.398979
400485,SB 17/NB 17 rm-s-diag,85,N,ML,3,68000,85,10.29,37.254231,-121.949216
400486,Hesperian Blvd rm-s-diag,880,S,ML,6,,1,30.187,37.683114,-122.127218
400488,Whipple Rd  rm-n-coll,880,N,ML,5,33000,1,24.007,37.608066,-122.067407
400489,West St / 35th St,580,E,ML,2,53000,1,61.243,37.824791,-122.270978
400490,Mowry Ave rm-n-diag,880,N,ML,4,26000,1,17.587,37.531271,-122.004734
400492,Seminary Ave,580,E,ML,4,53000,1,54.804,37.780572,-122.173006
400494,1400' E of EBmud Aqueduct UC,24,E,ML,5,39122,13,11.328,37.895807,-122.108492
400495,Hegenberger Rd rm-n-loop,880,N,ML,4,53000,1,35.687,37.740229,-122.195912
400497,Sierra Pt Prkwy off-n-diag,101,N,ML,4,73262,81,425.717,37.672002,-122.390835
400498,High St rm-s-diag,880,S,ML,4,53000,1,37.757,37.764896,-122.217766
400499,WOLFE RD,280,N,ML,4,17610,85,9.802,37.331068,-122.014931
400501,600' W of Refinery Rd UC,80,W,ML,4,,13,25.247,38.036851,-122.249232
400503,S. Airport Blvd rm-n-hook,101,N,ML,5,73262,81,423.667,37.646963,-122.406317
400504,oppo W Hillsdale Blvd,92,W,ML,2,68252,81,10.006,37.531103,-122.330303
400505,100' N of Oak Park Blvd,680,N,ML,6,57764,13,48.502,37.935645,-122.060104
400507,oppo De Anza Blvd rm-s-diag,85,N,ML,3,68000,85,15.846,37.298931,-122.029806
400508,Coleman Ave rm-s-diag,880,S,ML,3,68000,85,2.55,37.34766,-121.919969
400513,SR-37 rm-s-fly/diag,101,S,ML,4,,41,459.365,38.076213,-122.542571
400514,Bascom Ave rm-s-loop,880,S,ML,3,68000,85,1.28,37.334602,-121.936288
400515,oppo Hesperian Blvd off-n-diag,880,N,ML,6,,1,30.187,37.683298,-122.126995
400516,SB 242 conn,4,W,ML,2,16000,13,15.078,38.009807,-122.023367
400519,SB 87 rm-s-fly,85,S,ML,3,68000,85,4.88,37.255262,-121.852738
400521,Solano Way rm-s-diag,242,N,ML,3,16000,13,2.329,37.987589,-122.040509
400525,2000' S of Pacheco Creek OC,101,S,ML,5,,41,456.905,38.043798,-122.535322
400527,peninsula ave rm-n-diag,101,N,ML,4,68252,81,417.117,37.586468,-122.331956
